key,target_id,folder_path,name,target_type,method,path,url
GET /apis/v1/appbackups/:name/history,1be82b9e38801001,容灾云平台 / V1 / 历史事件,获取指定资源历史记录,api,GET,/apis/v1/appbackups/app-backup-1768290527617ms/history,{{baseurl}}/apis/v1/appbackups/app-backup-1768290527617ms/history
POST /disasterjobs.testudo.softcdata.com/v1/jobs,3ee6850678c074,容灾云平台 / V1 / 任务,创建容灾任务,api,POST,/disasterjobs.testudo.softcdata.com/v1/jobs,{{baseUrl}}/disasterjobs.testudo.softcdata.com/v1/jobs
